NUTS_ID,NUTS_NAME,country,year,infra_km,pop_density,expenditure_mEUR,mean_elevation_m,elevation_std,dist_to_river_km
CY00,CY00,CY,2015,873.05,671.29,739.89,295.61,292.95,5.16
CY00,CY00,CY,2016,894.16,678.68,753.31,295.61,292.95,78.01
CY00,CY00,CY,2017,942.72,664.86,850.19,295.61,292.95,145.44
CY00,CY00,CY,2018,925.44,690.31,813.68,295.61,292.95,40.7
CY00,CY00,CY,2019,880.31,680.25,940.77,295.61,292.95,42.14
CY00,CY00,CY,2020,902.81,689.56,940.8,295.61,292.95,109.35
CY00,CY00,CY,2021,972.28,683.18,920.02,295.61,292.95,129.47
DE30,DE30,DE,2015,994.45,103.0,3431.66,47.52,10.27,109.44
DE30,DE30,DE,2016,996.12,117.6,3544.32,47.52,10.27,106.99
DE30,DE30,DE,2017,978.41,118.82,3777.86,47.52,10.27,115.65
DE30,DE30,DE,2018,1091.47,106.57,3785.77,47.52,10.27,16.18
DE30,DE30,DE,2019,998.09,117.22,3895.5,47.52,10.27,47.15
DE30,DE30,DE,2020,1036.64,117.11,3988.47,47.52,10.27,113.33
DE30,DE30,DE,2021,974.29,109.4,4094.85,47.52,10.27,139.45
CZ01,CZ01,CZ,2015,1253.38,1304.46,446.38,276.81,47.15,133.88
CZ01,CZ01,CZ,2016,1271.97,1318.07,417.87,276.81,47.15,16.51
CZ01,CZ01,CZ,2017,1263.2,1318.94,372.79,276.81,47.15,122.7
CZ01,CZ01,CZ,2018,1175.54,1332.86,438.81,276.81,47.15,50.64
CZ01,CZ01,CZ,2019,1258.7,1334.34,491.41,276.81,47.15,77.82
CZ01,CZ01,CZ,2020,1251.27,1356.55,482.9,276.81,47.15,45.13
CZ01,CZ01,CZ,2021,1241.54,1349.66,619.61,276.81,47.15,7.72
DED5,DED5,DE,2015,1221.88,374.2,3433.04,135.36,35.01,147.85
DED5,DED5,DE,2016,1264.97,364.93,3557.45,135.36,35.01,109.23
DED5,DED5,DE,2017,1277.44,392.33,3630.86,135.36,35.01,95.03
DED5,DED5,DE,2018,1240.12,380.94,3781.03,135.36,35.01,27.98
